Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6364.259	    0.319	 9.683e-17	         1.156e-17	    2.617	    0.299	 6.352e-16	 1.049e-16	  -14.511	            0.378	 3027.960	 3027.960	   15.004	   16.514	    6.162
[OI]b   	 6363.800	 6428.403	    0.319	 3.124e-17	         1.156e-17	    2.617	    0.299	 2.049e-16	 7.936e-17	  -14.511	            0.378	 3027.960	 3027.960	   14.854	   38.734	    6.162
[NII]b  	 6548.100	 6614.660	    0.272	 4.654e-16	         1.747e-16	    2.307	    0.226	 2.691e-15	 1.044e-15	          -14.511	    0.378	 3031.821	 3031.821	   12.332	           38.809	    5.432
Halpha  	 6562.800	 6629.561	    0.228	 2.150e-15	         2.466e-16	    2.285	    0.182	 1.231e-14	 1.720e-15	          -14.511	    0.378	 3034.191	 3034.191	   10.322	           13.965	    5.381
[NII]a  	 6583.500	 6650.419	    0.272	 1.350e-15	         1.747e-16	    2.319	    0.226	 7.845e-15	 1.272e-15	          -14.511	    0.378	 3031.821	 3031.821	   12.266	           16.217	    5.461
[SII]a  	 6716.400	 6784.478	    0.537	 3.444e-16	         1.023e-16	    2.182	    0.464	 1.883e-15	 6.880e-16	          -14.511	    0.378	 3023.333	 3023.333	   23.747	           36.530	    5.138
[SII]b  	 6730.800	 6799.024	    0.537	 2.368e-16	         8.834e-17	    2.187	    0.464	 1.298e-15	 5.570e-16	          -14.511	    0.378	 3023.333	 3023.333	   23.697	           42.923	    5.149
Hbeta   	 4861.000	 4911.141	    0.219	 2.619e-16	         4.410e-17	    1.805	    0.150	 1.184e-15	 2.225e-16	          -14.511	    0.378	 3076.379	 3076.379	   13.367	           18.787	    4.249
[OIII]49	 4959.000	 5009.099	    0.309	 3.057e-17	         2.245e-17	    1.930	    0.259	 1.479e-16	 1.104e-16	          -14.511	    0.378	 3013.410	 3013.410	   18.464	           74.671	    4.544
[OIII]50	 5007.000	 5057.585	    0.309	 9.171e-17	         2.245e-17	    1.930	    0.259	 4.436e-16	 1.239e-16	          -14.511	    0.378	 3013.468	 3013.468	   18.287	           27.927	    4.544
