Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6365.224	    0.094	 2.746e-16	         1.278e-17	    2.136	    0.076	 1.471e-15	 8.633e-17	   -0.803	            0.553	 3073.417	 3073.417	    4.419	    5.871	    5.030
[OI]b   	 6363.800	 6429.378	    0.094	 8.859e-17	         1.278e-17	    2.136	    0.076	 4.744e-16	 7.049e-17	   -0.803	            0.553	 3073.417	 3073.417	    4.375	   14.860	    5.030
[NII]b  	 6548.100	 6615.467	    0.330	 9.204e-16	         5.569e-16	    1.929	    0.254	 4.450e-15	 2.756e-15	           -0.803	    0.553	 3068.421	 3068.421	   14.967	           61.925	    4.543
Halpha  	 6562.800	 6630.363	    0.242	 6.279e-15	         9.844e-16	    1.893	    0.179	 2.980e-14	 5.455e-15	           -0.803	    0.553	 3070.451	 3070.451	   10.922	           18.305	    4.459
[NII]a  	 6583.500	 6651.232	    0.330	 2.669e-15	         5.569e-16	    1.939	    0.254	 1.298e-14	 3.197e-15	           -0.803	    0.553	 3068.421	 3068.421	   14.886	           24.637	    4.567
[SII]a  	 6716.400	 6785.549	    0.506	 7.561e-16	         3.247e-16	    1.623	    0.325	 3.076e-15	 1.458e-15	           -0.803	    0.553	 3070.622	 3070.622	   22.337	           47.392	    3.822
[SII]b  	 6730.800	 6800.097	    0.506	 5.930e-16	         2.966e-16	    1.626	    0.325	 2.418e-15	 1.302e-15	           -0.803	    0.553	 3070.622	 3070.622	   22.289	           53.871	    3.830
Hbeta   	 4861.000	 4911.768	    0.378	 4.891e-16	         1.150e-16	    1.992	    0.288	 2.442e-15	 6.738e-16	           -0.803	    0.553	 3114.660	 3114.660	   23.039	           27.593	    4.690
[OIII]49	 4959.000	 5010.299	    0.753	 2.576e-17	         4.383e-17	    1.530	    0.543	 9.875e-17	 1.716e-16	           -0.803	    0.553	 3085.183	 3085.183	   45.079	          173.814	    3.602
[OIII]50	 5007.000	 5058.796	    0.753	 7.727e-17	         4.383e-17	    1.530	    0.543	 2.963e-16	 1.982e-16	           -0.803	    0.553	 3085.241	 3085.241	   44.647	           66.897	    3.602
