Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6365.223	    0.094	 2.744e-16	         1.277e-17	    2.139	    0.077	 1.471e-15	 8.635e-17	   -0.803	            0.553	 3073.384	 3073.384	    4.423	    5.871	    5.036
[OI]b   	 6363.800	 6429.378	    0.094	 8.850e-17	         1.277e-17	    2.139	    0.077	 4.745e-16	 7.053e-17	   -0.803	            0.553	 3073.384	 3073.384	    4.378	   14.864	    5.036
[NII]b  	 6548.100	 6615.467	    0.330	 9.205e-16	         5.572e-16	    1.928	    0.254	 4.448e-15	 2.756e-15	           -0.803	    0.553	 3068.426	 3068.426	   14.971	           61.949	    4.540
Halpha  	 6562.800	 6630.363	    0.242	 6.280e-15	         9.846e-16	    1.893	    0.179	 2.980e-14	 5.455e-15	           -0.803	    0.553	 3070.453	 3070.453	   10.923	           18.308	    4.458
[NII]a  	 6583.500	 6651.232	    0.330	 2.669e-15	         5.572e-16	    1.938	    0.254	 1.297e-14	 3.197e-15	           -0.803	    0.553	 3068.426	 3068.426	   14.890	           24.650	    4.564
[SII]a  	 6716.400	 6785.548	    0.505	 7.558e-16	         3.243e-16	    1.625	    0.324	 3.078e-15	 1.457e-15	           -0.803	    0.553	 3070.610	 3070.610	   22.310	           47.319	    3.826
[SII]b  	 6730.800	 6800.097	    0.505	 5.929e-16	         2.963e-16	    1.628	    0.324	 2.420e-15	 1.302e-15	           -0.803	    0.553	 3070.610	 3070.610	   22.262	           53.799	    3.835
Hbeta   	 4861.000	 4911.768	    0.378	 4.891e-16	         1.150e-16	    1.992	    0.288	 2.442e-15	 6.738e-16	           -0.803	    0.553	 3114.657	 3114.657	   23.039	           27.593	    4.690
[OIII]49	 4959.000	 5010.300	    0.754	 2.575e-17	         4.383e-17	    1.529	    0.543	 9.871e-17	 1.716e-16	           -0.803	    0.553	 3085.239	 3085.239	   45.099	          173.875	    3.601
[OIII]50	 5007.000	 5058.797	    0.754	 7.725e-17	         4.383e-17	    1.529	    0.543	 2.961e-16	 1.982e-16	           -0.803	    0.553	 3085.297	 3085.297	   44.666	           66.925	    3.601
[OI]a   	 6300.300	 6365.223	    0.094	 2.744e-16	         1.277e-17	    2.139	    0.077	 1.471e-15	 8.635e-17	           -0.803	    0.553	 3073.384	 3073.384	    4.423	            5.871	    5.036
[OI]b   	 6363.800	 6429.378	    0.094	 8.850e-17	         1.277e-17	    2.139	    0.077	 4.745e-16	 7.053e-17	           -0.803	    0.553	 3073.384	 3073.384	    4.378	           14.864	    5.036
[NII]b  	 6548.100	 6615.467	    0.330	 9.205e-16	         5.572e-16	    1.928	    0.254	 4.448e-15	 2.756e-15	           -0.803	    0.553	 3068.426	 3068.426	   14.971	           61.949	    4.540
Halpha  	 6562.800	 6630.363	    0.242	 6.280e-15	         9.846e-16	    1.893	    0.179	 2.980e-14	 5.455e-15	           -0.803	    0.553	 3070.453	 3070.453	   10.923	           18.308	    4.458
[NII]a  	 6583.500	 6651.232	    0.330	 2.669e-15	         5.572e-16	    1.938	    0.254	 1.297e-14	 3.197e-15	           -0.803	    0.553	 3068.426	 3068.426	   14.890	           24.650	    4.564
[SII]a  	 6716.400	 6785.548	    0.505	 7.558e-16	         3.243e-16	    1.625	    0.324	 3.078e-15	 1.457e-15	           -0.803	    0.553	 3070.610	 3070.610	   22.310	           47.319	    3.826
[SII]b  	 6730.800	 6800.097	    0.505	 5.929e-16	         2.963e-16	    1.628	    0.324	 2.420e-15	 1.302e-15	           -0.803	    0.553	 3070.610	 3070.610	   22.262	           53.799	    3.835
Hbeta   	 4861.000	 4911.768	    0.378	 4.891e-16	         1.150e-16	    1.992	    0.288	 2.442e-15	 6.738e-16	           -0.803	    0.553	 3114.657	 3114.657	   23.039	           27.593	    4.690
[OIII]49	 4959.000	 5010.300	    0.754	 2.575e-17	         4.383e-17	    1.529	    0.543	 9.871e-17	 1.716e-16	           -0.803	    0.553	 3085.239	 3085.239	   45.099	          173.875	    3.601
[OIII]50	 5007.000	 5058.797	    0.754	 7.725e-17	         4.383e-17	    1.529	    0.543	 2.961e-16	 1.982e-16	           -0.803	    0.553	 3085.297	 3085.297	   44.666	           66.925	    3.601
