Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6361.213	    0.322	 3.932e-17	         7.401e-18	    1.726	    0.302	 1.701e-16	 4.371e-17	    3.598	            0.378	 2884.441	 2884.441	   15.184	   25.690	    4.065
[OI]b   	 6363.800	 6425.326	    0.322	 1.268e-17	         7.401e-18	    1.726	    0.302	 5.488e-17	 3.343e-17	    3.598	            0.378	 2884.441	 2884.441	   15.032	   60.920	    4.065
[NII]b  	 6548.100	 6611.720	    0.291	 5.521e-16	         3.043e-16	    1.864	    0.233	 2.579e-15	 1.458e-15	            3.598	    0.378	 2898.570	 2898.570	   13.205	           56.520	    4.388
Halpha  	 6562.800	 6626.541	    0.201	 4.083e-15	         5.590e-16	    1.816	    0.154	 1.859e-14	 2.994e-15	            3.598	    0.378	 2897.578	 2897.578	    9.102	           16.109	    4.276
[NII]a  	 6583.500	 6647.464	    0.291	 1.601e-15	         3.043e-16	    1.874	    0.233	 7.520e-15	 1.708e-15	            3.598	    0.378	 2898.570	 2898.570	   13.134	           22.715	    4.412
[SII]a  	 6716.400	 6781.709	    0.488	 4.255e-16	         1.692e-16	    1.825	    0.386	 1.947e-15	 8.768e-16	            3.598	    0.378	 2900.943	 2900.943	   21.580	           45.041	    4.298
[SII]b  	 6730.800	 6796.249	    0.488	 3.523e-16	         1.506e-16	    1.829	    0.386	 1.615e-15	 7.701e-16	            3.598	    0.378	 2900.943	 2900.943	   21.533	           47.673	    4.307
Hbeta   	 4861.000	 4908.032	    0.154	 5.523e-16	         6.428e-17	    1.570	    0.107	 2.173e-15	 2.931e-16	            3.598	    0.378	 2886.550	 2886.550	    9.380	           13.491	    3.696
[OIII]49	 4959.000	 5006.815	    0.463	 1.506e-17	         1.534e-17	    1.549	    0.340	 5.846e-17	 6.092e-17	            3.598	    0.378	 2876.690	 2876.690	   27.706	          104.197	    3.648
[OIII]50	 5007.000	 5055.279	    0.463	 4.517e-17	         1.534e-17	    1.549	    0.340	 1.754e-16	 7.091e-17	            3.598	    0.378	 2876.748	 2876.748	   27.440	           40.429	    3.648
[OI]a   	 6300.300	 6361.213	    0.322	 3.932e-17	         7.401e-18	    1.726	    0.302	 1.701e-16	 4.371e-17	            3.598	    0.378	 2884.441	 2884.441	   15.184	           25.690	    4.065
[OI]b   	 6363.800	 6425.326	    0.322	 1.268e-17	         7.401e-18	    1.726	    0.302	 5.488e-17	 3.343e-17	            3.598	    0.378	 2884.441	 2884.441	   15.032	           60.920	    4.065
[NII]b  	 6548.100	 6611.720	    0.291	 5.521e-16	         3.043e-16	    1.864	    0.233	 2.579e-15	 1.458e-15	            3.598	    0.378	 2898.570	 2898.570	   13.205	           56.520	    4.388
Halpha  	 6562.800	 6626.541	    0.201	 4.083e-15	         5.590e-16	    1.816	    0.154	 1.859e-14	 2.994e-15	            3.598	    0.378	 2897.578	 2897.578	    9.102	           16.109	    4.276
[NII]a  	 6583.500	 6647.464	    0.291	 1.601e-15	         3.043e-16	    1.874	    0.233	 7.520e-15	 1.708e-15	            3.598	    0.378	 2898.570	 2898.570	   13.134	           22.715	    4.412
[SII]a  	 6716.400	 6781.709	    0.488	 4.255e-16	         1.692e-16	    1.825	    0.386	 1.947e-15	 8.768e-16	            3.598	    0.378	 2900.943	 2900.943	   21.580	           45.041	    4.298
[SII]b  	 6730.800	 6796.249	    0.488	 3.523e-16	         1.506e-16	    1.829	    0.386	 1.615e-15	 7.701e-16	            3.598	    0.378	 2900.943	 2900.943	   21.533	           47.673	    4.307
Hbeta   	 4861.000	 4908.032	    0.154	 5.523e-16	         6.428e-17	    1.570	    0.107	 2.173e-15	 2.931e-16	            3.598	    0.378	 2886.550	 2886.550	    9.380	           13.491	    3.696
[OIII]49	 4959.000	 5006.815	    0.463	 1.506e-17	         1.534e-17	    1.549	    0.340	 5.846e-17	 6.092e-17	            3.598	    0.378	 2876.690	 2876.690	   27.706	          104.197	    3.648
[OIII]50	 5007.000	 5055.279	    0.463	 4.517e-17	         1.534e-17	    1.549	    0.340	 1.754e-16	 7.091e-17	            3.598	    0.378	 2876.748	 2876.748	   27.440	           40.429	    3.648
