Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6361.814	    0.225	 4.584e-17	         5.767e-18	    1.851	    0.202	 2.127e-16	 3.543e-17	  -10.711	            0.378	 2912.797	 2912.797	   10.607	   16.662	    4.359
[OI]b   	 6363.800	 6425.934	    0.225	 1.479e-17	         5.767e-18	    1.851	    0.202	 6.860e-17	 2.778e-17	  -10.711	            0.378	 2912.797	 2912.797	   10.502	   40.501	    4.359
[NII]b  	 6548.100	 6611.798	    0.349	 2.632e-16	         1.721e-16	    1.837	    0.282	 1.212e-15	 8.140e-16	          -10.711	    0.378	 2902.107	 2902.107	   15.827	           67.163	    4.326
Halpha  	 6562.800	 6626.689	    0.248	 1.737e-15	         3.009e-16	    1.752	    0.192	 7.631e-15	 1.565e-15	          -10.711	    0.378	 2904.289	 2904.289	   11.221	           20.508	    4.127
[NII]a  	 6583.500	 6647.542	    0.349	 7.633e-16	         1.721e-16	    1.847	    0.282	 3.534e-15	 9.622e-16	          -10.711	    0.378	 2902.107	 2902.107	   15.742	           27.229	    4.349
[SII]a  	 6716.400	 6781.726	    0.510	 2.814e-16	         1.113e-16	    1.824	    0.405	 1.287e-15	 5.839e-16	          -10.711	    0.378	 2901.687	 2901.687	   22.524	           45.373	    4.296
[SII]b  	 6730.800	 6796.266	    0.510	 2.046e-16	         9.375e-17	    1.828	    0.405	 9.375e-16	 4.773e-16	          -10.711	    0.378	 2901.687	 2901.687	   22.476	           50.909	    4.305
Hbeta   	 4861.000	 4908.724	    0.211	 2.081e-16	         3.549e-17	    1.466	    0.153	 7.644e-16	 1.528e-16	          -10.711	    0.378	 2928.829	 2928.829	   12.875	           19.993	    3.451
[OIII]49	 4959.000	 5007.778	    0.328	 1.449e-17	         1.527e-17	    1.242	    0.268	 4.510e-17	 4.852e-17	          -10.711	    0.378	 2934.329	 2934.329	   19.616	          107.582	    2.924
[OIII]50	 5007.000	 5056.251	    0.328	 4.347e-17	         1.527e-17	    1.242	    0.268	 1.353e-16	 5.580e-17	          -10.711	    0.378	 2934.387	 2934.387	   19.428	           41.242	    2.924
[OI]a   	 6300.300	 6361.814	    0.225	 4.584e-17	         5.767e-18	    1.851	    0.202	 2.127e-16	 3.543e-17	          -10.711	    0.378	 2912.797	 2912.797	   10.607	           16.662	    4.359
[OI]b   	 6363.800	 6425.934	    0.225	 1.479e-17	         5.767e-18	    1.851	    0.202	 6.860e-17	 2.778e-17	          -10.711	    0.378	 2912.797	 2912.797	   10.502	           40.501	    4.359
[NII]b  	 6548.100	 6611.798	    0.349	 2.632e-16	         1.721e-16	    1.837	    0.282	 1.212e-15	 8.140e-16	          -10.711	    0.378	 2902.107	 2902.107	   15.827	           67.163	    4.326
Halpha  	 6562.800	 6626.689	    0.248	 1.737e-15	         3.009e-16	    1.752	    0.192	 7.631e-15	 1.565e-15	          -10.711	    0.378	 2904.289	 2904.289	   11.221	           20.508	    4.127
[NII]a  	 6583.500	 6647.542	    0.349	 7.633e-16	         1.721e-16	    1.847	    0.282	 3.534e-15	 9.622e-16	          -10.711	    0.378	 2902.107	 2902.107	   15.742	           27.229	    4.349
[SII]a  	 6716.400	 6781.726	    0.510	 2.814e-16	         1.113e-16	    1.824	    0.405	 1.287e-15	 5.839e-16	          -10.711	    0.378	 2901.687	 2901.687	   22.524	           45.373	    4.296
[SII]b  	 6730.800	 6796.266	    0.510	 2.046e-16	         9.375e-17	    1.828	    0.405	 9.375e-16	 4.773e-16	          -10.711	    0.378	 2901.687	 2901.687	   22.476	           50.909	    4.305
Hbeta   	 4861.000	 4908.724	    0.211	 2.081e-16	         3.549e-17	    1.466	    0.153	 7.644e-16	 1.528e-16	          -10.711	    0.378	 2928.829	 2928.829	   12.875	           19.993	    3.451
[OIII]49	 4959.000	 5007.778	    0.328	 1.449e-17	         1.527e-17	    1.242	    0.268	 4.510e-17	 4.852e-17	          -10.711	    0.378	 2934.329	 2934.329	   19.616	          107.582	    2.924
[OIII]50	 5007.000	 5056.251	    0.328	 4.347e-17	         1.527e-17	    1.242	    0.268	 1.353e-16	 5.580e-17	          -10.711	    0.378	 2934.387	 2934.387	   19.428	           41.242	    2.924
