Line    	 Rest_wv 	 Center  	 dCenter 	 Amp     	         dAmp    	 Sigma    	 dSig     	 Flux    	         dFlux   	 Pos     	 dPos    	 Vel     	 Rel_Vel 	         dVel    	 flu_per 	 fwhm    
[OI]a   	 6300.300	 6366.154	    0.118	 2.675e-16	         1.310e-17	    2.487	    0.105	 1.668e-15	 1.080e-16	    6.862	            0.553	 3117.199	 3117.199	    5.552	    6.474	    5.857
[OI]b   	 6363.800	 6430.318	    0.118	 8.629e-17	         1.310e-17	    2.487	    0.105	 5.380e-16	 8.478e-17	    6.862	            0.553	 3117.199	 3117.199	    5.496	   15.759	    5.857
[NII]b  	 6548.100	 6619.178	    0.312	 1.442e-15	         8.466e-16	    1.859	    0.239	 6.719e-15	 4.039e-15	            6.862	    0.553	 3236.502	 3236.502	   14.151	           60.121	    4.378
Halpha  	 6562.800	 6633.964	    0.247	 8.950e-15	         1.386e-15	    1.960	    0.186	 4.398e-14	 7.990e-15	            6.862	    0.553	 3233.167	 3233.167	   11.166	           18.169	    4.616
[NII]a  	 6583.500	 6654.962	    0.312	 4.181e-15	         8.466e-16	    1.869	    0.239	 1.959e-14	 4.692e-15	            6.862	    0.553	 3236.502	 3236.502	   14.075	           23.951	    4.402
[SII]a  	 6716.400	 6789.332	    0.508	 1.026e-15	         4.525e-16	    1.654	    0.336	 4.252e-15	 2.066e-15	            6.862	    0.553	 3237.689	 3237.689	   22.426	           48.579	    3.894
[SII]b  	 6730.800	 6803.888	    0.508	 8.423e-16	         4.149e-16	    1.657	    0.336	 3.499e-15	 1.864e-15	            6.862	    0.553	 3237.689	 3237.689	   22.378	           53.279	    3.903
Hbeta   	 4861.000	 4914.232	    0.139	 2.126e-15	         1.862e-16	    1.952	    0.101	 1.041e-14	 1.059e-15	            6.862	    0.553	 3265.029	 3265.029	    8.506	           10.177	    4.598
[OIII]49	 4959.000	 5012.893	    0.435	 6.634e-17	         5.035e-17	    2.037	    0.337	 3.387e-16	 2.631e-16	            6.862	    0.553	 3240.364	 3240.364	   26.031	           77.674	    4.797
[OIII]50	 5007.000	 5061.416	    0.435	 1.990e-16	         5.035e-17	    2.037	    0.337	 1.016e-15	 3.071e-16	            6.862	    0.553	 3240.422	 3240.422	   25.781	           30.223	    4.797
[OI]a   	 6300.300	 6366.154	    0.118	 2.675e-16	         1.310e-17	    2.487	    0.105	 1.668e-15	 1.080e-16	            6.862	    0.553	 3117.199	 3117.199	    5.552	            6.474	    5.857
[OI]b   	 6363.800	 6430.318	    0.118	 8.629e-17	         1.310e-17	    2.487	    0.105	 5.380e-16	 8.478e-17	            6.862	    0.553	 3117.199	 3117.199	    5.496	           15.759	    5.857
[NII]b  	 6548.100	 6619.178	    0.312	 1.442e-15	         8.466e-16	    1.859	    0.239	 6.719e-15	 4.039e-15	            6.862	    0.553	 3236.502	 3236.502	   14.151	           60.121	    4.378
Halpha  	 6562.800	 6633.964	    0.247	 8.950e-15	         1.386e-15	    1.960	    0.186	 4.398e-14	 7.990e-15	            6.862	    0.553	 3233.167	 3233.167	   11.166	           18.169	    4.616
[NII]a  	 6583.500	 6654.962	    0.312	 4.181e-15	         8.466e-16	    1.869	    0.239	 1.959e-14	 4.692e-15	            6.862	    0.553	 3236.502	 3236.502	   14.075	           23.951	    4.402
[SII]a  	 6716.400	 6789.332	    0.508	 1.026e-15	         4.525e-16	    1.654	    0.336	 4.252e-15	 2.066e-15	            6.862	    0.553	 3237.689	 3237.689	   22.426	           48.579	    3.894
[SII]b  	 6730.800	 6803.888	    0.508	 8.423e-16	         4.149e-16	    1.657	    0.336	 3.499e-15	 1.864e-15	            6.862	    0.553	 3237.689	 3237.689	   22.378	           53.279	    3.903
Hbeta   	 4861.000	 4914.232	    0.139	 2.126e-15	         1.862e-16	    1.952	    0.101	 1.041e-14	 1.059e-15	            6.862	    0.553	 3265.029	 3265.029	    8.506	           10.177	    4.598
[OIII]49	 4959.000	 5012.893	    0.435	 6.634e-17	         5.035e-17	    2.037	    0.337	 3.387e-16	 2.631e-16	            6.862	    0.553	 3240.364	 3240.364	   26.031	           77.674	    4.797
[OIII]50	 5007.000	 5061.416	    0.435	 1.990e-16	         5.035e-17	    2.037	    0.337	 1.016e-15	 3.071e-16	            6.862	    0.553	 3240.422	 3240.422	   25.781	           30.223	    4.797
